Name;Symbol;Coin Market Cap;Price;Volume;max_supply;total_supply
USDX [Lighthouse]; USDX; 21558477,02922421; 5,714396026905894;294.0617129;None;3772660.65
Dfyn Network; DFYN; 21552635,4680499; 0,4966362588402806;2363686.78940991;250000000;249599675
OneLedger; OLT; 21521812,77483368; 0,04735695083510554;491220.79201609;1000000000;1000000000
Kalao; KLO; 21450901,05537194; 0,9573092401752709;2213848.28566174;500000000;500000000
Ondori; RSTR; 21425086,4241072; 0,0005672987733328859;0;None;43903795596.8916
Nucleus Vision; NCASH; 21394371,745434396; 0,002967600099910805;272834.20938464;None;10000000000
ICHI; ICHI; 21340813,62745411; 5,572140639571994;357079.10869965;None;5000000
Mirrored Tesla; mTSLA; 21336944,796357434; 1182,1024611139317;368774.60501675;None;18049.996086
ProximaX; XPX; 21301121,846912242; 0,0034934438109136246;423918.19550131;None;9000000000
Inter Milan Fan Token; INTER; 21294314,326918844; 7,097889472992267;1006457.72113904;None;20000000
Spartan Protocol; SPARTA; 21264056,83920473; 0,24819640867492193;1908149.70051262;300000000;95669686
NEST Protocol; NEST; 21230761,657406207; 0,010586404458713195;2475078.63945367;10000000000;9978035000
Mirrored Apple; mAAPL; 21190307,336560037; 168,99317720292913;104523.80967024;None;125391.496197
SolFarm; TULIP; 21177754,6147551; 25,978415647855844;1012825.79344165;10000000;10000000
Project WITH; WIKEN; 21121428,950476572; 0,024759547371698266;682573.90711216;1057786429;1057786429
Cream Finance; CREAM; 20881847,121092126; 33,87831350420055;5770090.67754098;2924547;2925000
Mirrored Microsoft; mMSFT; 20824536,59773526; 341,46225168745747;25096.10310877;None;60986.350599
TrustVerse; TRV; 20663141,030449983; 0,03196155302601732;3653299.14712049;None;1000000000
MicroPets; PETS; 20738616,58958211; 4,141825167234988e-06;1721149.9351527;10000000000000;10000000000000
Pacoca; PACOCA; 20697062,1811423; 0,25046424142121615;1576791.8447345;100000000;88600465.7389353
BigONE Token; ONE; 20597327,85705612; 0,002179823390543707;0;13508522147.21;6136590477.392
Crypterium; CRPT; 20556126,56683973; 0,25172757148924596;1806036.12283477;None;96657762.00187267
Arianee; ARIA20; 20522639,15631056; 0,7940882223154344;13102.73461254;200000000;200000000
GoCrypto Token; GOC; 20436509,529516585; 0,08331963344863484;261372.8165437;327902034;299095759
dHedge DAO; DHT; 20417704,096665397; 1,0073583582170444;689854.56130435;100000000;100000000
Galatasaray Fan Token; GAL; 20414838,885891426; 5,820219481137216;2155764.89343244;None;10000000
Gate; GATE; 20329397,167628944; 0,0378749519132734;2141.82510132;None;900000000
DEEPSPACE; DPS; 20185331,292702753; 0,3816221678667059;222309.76979569;100000000;89598881.46356252
Oddz; ODDZ; 20084914,92364334; 0,5527813599861591;4444325.08768446;100000000;100000000
Adora Token; ARA; 20017692,384751882; 0,12511057740469927;899582.39079161;888714888;888714888
OAX; OAX; 19958078,01825964; 0,25904358631884655;296549.19485443;None;100000000
AppCoins; APPC; 19948871,54014193; 0,08161543066871607;168492.26917427;None;244425244.96851796
dForce; DF; 19896545,657211237; 0,1733556946512569;7354302.06295984;None;999951289.8228923
AntiMatter; MATTER; 19782345,40773149; 0,6319997615528908;295247.1014001;100000000;100000000
ExNetwork Token; EXNT; 19776223,344084907; 0,3136588482334388;359519.50179162;100000000;100000000
WELL; WELL; 19621572,621776633; 0,1431395726712623;35435.7813035;2100000000;1496163846
Unicly CryptoPunks Collection; UPUNK; 19560050,618048515; 0,07824020247219406;176741.20787721;250000000;250000000
Minter Network; BIP; 19554656,51674936; 0,00398645725224548;26053.11374427;10000000000;5110481411
LABS Group; LABS; 19507062,754610468; 0,009363182210020915;926857.08011743;None;10000000000
AC Milan Fan Token; ACM; 19478879,730120007; 6,201150312724042;6061435.89846491;None;20000000
Swingby; SWINGBY; 19364857,761571508; 0,06833616950658764;925551.10603495;1000000000;975000000
LaunchZone; LZ; 19355060,106177635; 7,749773075624261;1160441.00759951;None;20671892.75
FREE Coin; FREE; 19294045,52796852; 1,941248107962637e-06;166187.37663925;10000000000000;10000000000000
Mirrored iShares Silver Trust; mSLV; 19238117,097942866; 22,09989761778977;39725.56877496;None;870507.068886
Signum; SIGNA; 19208672,888089914; 0,009014764567081677;4689.75993768;None;2130801392
Gather; GTH; 19201086,537148017; 0,19062955030589512;1033343.44979147;400000000;400000000
Arcblock; ABT; 19201559,067901332; 0,1948322702099923;6958357.13702051;None;186000000
Mysterium; MYST; 19172017,04742098; 0,9569917664149988;249986.39950805;32433365;32433365
Pickle Finance; PICKLE; 19008589,057074275; 10,309502001704004;6763143.04330998;1289763;1848976.41477931
Modefi; MOD; 18981226,324203774; 1,3487938165852031;637145.58975126;22000000;22000000
Sonar; PING; 18954949,644866575; 0,007011353986092587;432891.40008115;4000000000;4000000000
Mirrored Amazon; mAMZN; 18946207,71676056; 3589,2652087152474;55361.32755488;None;5278.57559
Venus Reward Token; VRT; 18884385,70531088; 0,0008583819066316616;357019.88922709;None;30000000000
PolySwarm; NCT; 18819866,289279718; 0,012169665702435049;86467.70973835;1885913075;1885913075.8515422
Meter Governance; MTRG; 18774523,836645957; 8,098268603044922;1359869.94379138;None;40000000
SONM (BEP-20); SNM; 18803290,727809478; 0,4234975389146279;1088648.01785518;None;44400000
Binemon; BIN; 18798139,608512226; 0,023497674510640283;2639352.46507691;1000000000;950000000
Synthetify; SNY; 18697478,64124137; 3,3239962028873546;137778.84299782;100000000;100000000
FortKnoxster; FKX; 18650630,77841345; 0,1251070781821839;949017.92918511;150000000;150000000
CONUN; CON; 18464842,365457952; 0,00637288777131924;453595.18027535;None;5000000000
Massnet; MASS; 18599872,36867765; 0,1897439910471454;2829405.32246457;206438400;98026147.05229937
Aventus; AVT; 18555541,555108752; 3,0925902591847922;247955.10349321;10000000;10000000
Ignis; IGNIS; 18547228,10023627; 0,024367569498826434;349060.25974366;999449694;999449694
Stafi; FIS; 18338119,00430424; 1,6347759649648015;6570073.85749633;102245900;102245900
Finxflo; FXF; 18238907,867112875; 0,23074896290632294;314597.7267362;150000000;150000000
IQeon; IQN; 18227908,817938183; 3,3190773541667062;1754485.68147044;5491860;5491860.1987553
Beyondfi; BYN; 18270932,701128803; 2,0614433975960105;2354377.79692119;100000000;100000000
Venus SXP; vSXP; 18185970,350794934; 0,045846034332728096;0;None;396674884
Fear; FEAR; 18092809,374554787; 2,7698063807739315;13674846.0493247;65000000;65000000
BSC Station; BSCS; 18090079,7053371; 0,49019414706261194;6161894.53165563;500000000;500000000
EOS Force; EOSC; 18000815,790826827; 0,018671687177140593;109442.66958542;None;1000000000
Atletico De Madrid Fan Token; ATM; 18024046,228580147; 8,6364249914135;2929813.66200729;None;10000000
Metaverse ETP; ETP; 17996254,17607248; 0,2267193233147113;954266.76628116;100000000;81376896.94159414
Phantasma Energy; KCAL; 17986982,274485137; 0,2830806219964774;1048496.81373642;None;63540139.7228418
Bondly; BONDLY; 17927211,048232675; 0,1724120836705951;1803613.36156374;None;983620758
Robonomics.network; XRT; 17899279,050594863; 16,9819802520437;839929.4836935;None;9232568.48659066
CyberFi Token; CFi; 17894378,51655209; 9,319988810704213;203975.24891616;None;2400000
RING X PLATFORM; RINGX; 17916506,430146996; 0,057657031077588;479267.51940271;None;357117790.3168
DeGate; DG; 17832278,242744684; 0,2248085949728828;77191391.63817489;1000000000;1000000000
ArtWallet; 1ART; 17729269,73025959; 0,21405977850224595;991386.36840927;1000000000;1000000000
Cryptocean; CRON; 17728267,563848045; 2,1622337931139297;327407.38270718;100000000;19121150.61929778
Genaro Network; GNX; 17706603,471848074; 0,027240928418227808;9908961.302134;None;650000000
TriumphX; TRIX; 17629446,690440368; 0,006539141382298256;620792.91232679;10000000000;9999982296
Nafter; NAFT; 17539801,93489408; 0,035079603869788166;3420269.79108647;1000000000;1000000000
ProBit Token; PROB; 17534537,25839571; 0,41748898234275494;48358.19077451;None;190000000
CONTRACOIN; CTCN; 17473999,790558875; 0,40115455539042777;409171.39860498;100000000;100000000
Mirrored iShares Gold Trust; mIAU; 17411400,325980745; 15,492255512544316;3075.99576287;None;1123877.689203
Bao Finance; BAO; 17383733,94557787; 0,0005102886605356647;1811147.74817913;None;560270974250
Factom; FCT; 17336284,202586573; 1,709838502825318;12214.80772049;None;10139135.46451334
Mirrored ProShares VIX; mVIXY; 17247881,014456104; 7,82489270533152;0;None;2204232.270521
AnimalGo; GOM2; 17235872,165714882; 0,01782656625944739;2909476.98612296;993993561;966864393
Venus LTC; vLTC; 17070488,290561233; 4,120939298770232;0;None;4142378
Govi; GOVI; 16957485,42655028; 1,7196544915345446;516319.13504691;None;32000000
Cashaa; CAS; 16912925,080597255; 0,020637397349872764;432077.96259949;None;1000000000
RioDeFi; RFUEL; 16830087,22301714; 0,057401224853700035;15535885.1738443;None;318019580
Ispolink; ISP; 16729734,068139937; 0,006717436492903927;2030994.27855841;10000000000;10000000000
Bird.Money; BIRD; 16708571,844396884; 175,98718058978594;178148.13054118;140000;140000
Mirrored Netflix; mNFLX; 16687580,090951234; 640,9988414287517;197398.01626767;None;26033.713343
Idavoll Network; IDV; 16504281,729070336; 0,019495474598658476;222352.89331502;2000000000;2000000000
